Name,Area_code,Descriptio,File_name,Number,Number0,Polygon_id,Unit_id,Code,Hectares,Area,Type_code,Descript0,Type_cod0,Descript1,Longitude,Latitude
Hambleden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,21,332,51841,11879,E04001601,"2,693.339",0,AA,CIVIL ADMINISTRATION AREA,,,"478,089.55","187,851.25"
Stokenchurch CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,22,333,51839,11877,E04001615,"2,111.719",0,AA,CIVIL ADMINISTRATION AREA,,,"476,333.1","194,988.1"
Great Marlow CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,25,336,51817,11855,E04001600,"1,687.406",0,AA,CIVIL ADMINISTRATION AREA,,,"482,876.4","188,144.45"
Lane End CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,38,338,51838,11876,E04001607,"1,162.235",0,AA,CIVIL ADMINISTRATION AREA,,,"479,432.6",191938
,NCP,Non-Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,40,340,0,0,,"2,376.338",0,FA,FILLER AREA,,,"485,955.45","193,270.55"
Chepping Wycombe CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,42,341,51971,11749,E04001594,"1,153.75",0,AA,CIVIL ADMINISTRATION AREA,,,"489,854.15","191,677.1"
Bledlow-cum-Saunderton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,47,342,51830,11868,E04001592,"2,718.799",0,AA,CIVIL ADMINISTRATION AREA,,,"479,159.1","200,381.3"
Great and Little Hampden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,53,346,51895,11845,E04001598,"1,321.076",0,AA,CIVIL ADMINISTRATION AREA,,,"484,685.3","202,273.5"
Fawley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,116,347,51837,11875,E04001597,920.697,0,AA,CIVIL ADMINISTRATION AREA,,,"475,241.65","186,000.75"
Medmenham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,117,348,51816,11854,E04001611,986.533,0,AA,CIVIL ADMINISTRATION AREA,,,"480,772.25","186,242.7"
Turville CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,118,349,51836,11874,E04001616,946.717,0,AA,CIVIL ADMINISTRATION AREA,,,"474,936.75","191,210.5"
Ibstone CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,119,350,51840,11878,E04001605,452.183,0,AA,CIVIL ADMINISTRATION AREA,,,"476,142.3",192645
Piddington and Wheeler End CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,120,351,51814,11852,E04001612,552.61,0,AA,CIVIL ADMINISTRATION AREA,,,"480,858.65","194,324.45"
Radnage CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,121,352,51813,11851,E04001614,553.725,0,AA,CIVIL ADMINISTRATION AREA,,,"478,614.35",196909
Longwick-cum-Ilmer CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,125,353,51843,11881,E04001609,"1,229.251",0,AA,CIVIL ADMINISTRATION AREA,,,"478,307.65","204,938.25"
Marlow CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,129,355,51925,11791,E04001610,688.332,0,AA,CIVIL ADMINISTRATION AREA,,,"484,903.9",186277
Little Marlow CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,132,357,121280,11815,E04001608,"1,349.733",0,AA,CIVIL ADMINISTRATION AREA,,,"487,329.75","188,814.3"
Wooburn CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,139,359,51937,11803,E04001618,808.935,0,AA,CIVIL ADMINISTRATION AREA,,,490634,"188,185.95"
West Wycombe CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,159,362,51821,11859,E04001617,530.458,0,AA,CIVIL ADMINISTRATION AREA,,,"482,944.45","194,884.3"
Hughenden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,166,366,51897,11847,E04001604,"1,879.174",0,AA,CIVIL ADMINISTRATION AREA,,,"486,547.95","197,622.05"
Lacey Green CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,181,368,51811,11849,E04001606,"1,001.587",0,AA,CIVIL ADMINISTRATION AREA,,,"482,403.65","200,873.25"
Princes Risborough CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,182,370,51827,11866,E04001613,"1,065.5",0,AA,CIVIL ADMINISTRATION AREA,,,"481,659.65","203,844.6"
Great and Little Kimble cum Marsh CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,183,371,51846,11884,E04001599,"1,211.965",0,AA,CIVIL ADMINISTRATION AREA,,,"481,431.2","207,145.65"
Ellesborough CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,184,372,51894,11844,E04001596,"1,351.915",0,AA,CIVIL ADMINISTRATION AREA,,,"484,261.95","206,649.6"
Marlow Bottom CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,277,374,122913,43403,E04001619,160.979,0,AA,CIVIL ADMINISTRATION AREA,,,"484,810.1","188,838.65"
Hedsor CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,280,377,51940,11806,E04001603,216.45,0,AA,CIVIL ADMINISTRATION AREA,,,"490,969.2","186,421.2"
Downley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,287,380,51919,11786,E04001595,381.792,0,AA,CIVIL ADMINISTRATION AREA,,,"484,519.2","195,430.35"
Hazlemere CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,292,384,51975,11753,E04001602,423.748,0,AA,CIVIL ADMINISTRATION AREA,,,"489,364.15","195,550.25"
Bradenham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,294,386,51812,11850,E04001593,520.264,0,AA,CIVIL ADMINISTRATION AREA,,,"482,438.4","197,634.6"
Taplow CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,28,391,51931,11797,E04001590,"1,112.113",0,AA,CIVIL ADMINISTRATION AREA,,,"491,737.4",183697
Burnham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,29,392,51934,11800,E04001581,"1,984.08",0,AA,CIVIL ADMINISTRATION AREA,,,"493,728.3","183,686.1"
Iver CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,35,393,51582,11701,E04001588,"2,012.09",0,AA,CIVIL ADMINISTRATION AREA,,,"503,384.65","181,821.35"
Denham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,37,394,121241,11720,E04001582,"1,624.953",0,AA,CIVIL ADMINISTRATION AREA,,,"503,629.25","187,258.65"
Beaconsfield CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,44,395,51966,11744,E04001580,"1,965.592",0,AA,CIVIL ADMINISTRATION AREA,,,"494,416.75","190,646.85"
